Hidden Gem Score,IMDb Votes,Rotten Tomatoes Score,Metacritic Score,IMDb Score,Genre
3,977.0,79.0,47.0,49.0,971.0
4,538.0,0.0,0.0,66.0,430.0
6,3136.0,0.0,0.0,47.0,702.0
8,5630.0,0.0,0.0,54.0,1075.0
6,503.0,29.0,42.0,30.0,81.0
2,5543.0,20.0,38.0,45.0,901.0
6,3926.0,87.0,0.0,25.0,217.0
4,699.0,89.0,71.0,59.0,1019.0
3,2072.0,0.0,0.0,51.0,1208.0
8,738.0,0.0,0.0,41.0,1004.0
3,4624.0,0.0,0.0,53.0,844.0
4,1187.0,0.0,0.0,54.0,813.0
4,4495.0,98.0,78.0,52.0,830.0
8,4848.0,0.0,0.0,50.0,167.0
8,4419.0,0.0,0.0,44.0,1137.0
4,2257.0,0.0,0.0,55.0,664.0
3,2371.0,82.0,62.0,46.0,901.0
2,2912.0,30.0,36.0,39.0,881.0
8,268.0,0.0,0.0,50.0,1159.0
8,1664.0,0.0,0.0,50.0,1119.0
3,1251.0,89.0,59.0,50.0,289.0
6,3338.0,66.0,0.0,39.0,1214.0
8,4968.0,0.0,0.0,45.0,1214.0
8,1844.0,0.0,0.0,58.0,1214.0
3,3204.0,83.0,55.0,48.0,802.0
8,4376.0,74.0,0.0,33.0,970.0
7,4429.0,57.0,0.0,38.0,1273.0
1,745.0,9.0,32.0,31.0,838.0
2,100.0,33.0,29.0,50.0,1191.0
9,4602.0,0.0,0.0,57.0,411.0
3,1676.0,83.0,58.0,42.0,1119.0
4,5091.0,0.0,0.0,54.0,361.0
2,4442.0,12.0,36.0,33.0,217.0
8,5384.0,0.0,0.0,45.0,1119.0
9,5299.0,0.0,0.0,56.0,1296.0
7,677.0,44.0,42.0,35.0,208.0
5,5288.0,94.0,69.0,49.0,1119.0
8,2428.0,0.0,0.0,45.0,1019.0
2,1355.0,42.0,0.0,27.0,876.0
6,3458.0,0.0,0.0,47.0,1210.0
4,5514.0,0.0,0.0,45.0,836.0
2,990.0,30.0,26.0,33.0,251.0
8,4720.0,0.0,0.0,48.0,688.0
4,2425.0,97.0,74.0,51.0,1225.0
8,691.0,96.0,64.0,46.0,1019.0
5,5436.0,97.0,0.0,51.0,938.0
4,158.0,94.0,70.0,48.0,1119.0
1,4280.0,47.0,13.0,17.0,86.0
7,2326.0,90.0,55.0,37.0,836.0
3,5232.0,74.0,58.0,39.0,387.0
7,5121.0,0.0,0.0,41.0,1119.0
3,896.0,85.0,56.0,46.0,999.0
8,4980.0,0.0,0.0,45.0,958.0
8,5234.0,0.0,0.0,43.0,1119.0
3,2083.0,67.0,55.0,53.0,1160.0
8,2570.0,0.0,0.0,52.0,836.0
6,3912.0,0.0,0.0,48.0,1225.0
0,4283.0,58.0,11.0,2.0,913.0
7,2598.0,86.0,0.0,44.0,1214.0
4,2698.0,99.0,73.0,51.0,1049.0
3,295.0,0.0,0.0,38.0,75.0
8,5074.0,0.0,0.0,49.0,1019.0
2,2231.0,42.0,40.0,32.0,179.0
3,1050.0,0.0,0.0,53.0,971.0
9,290.0,4.0,0.0,39.0,1214.0
3,3147.0,0.0,0.0,47.0,582.0
8,1079.0,0.0,0.0,46.0,413.0
8,5299.0,0.0,0.0,53.0,1120.0
3,446.0,0.0,0.0,50.0,1177.0
3,3521.0,0.0,0.0,50.0,377.0
7,1797.0,66.0,63.0,33.0,1119.0
3,1206.0,74.0,47.0,34.0,139.0
6,2880.0,0.0,52.0,33.0,1119.0
8,4035.0,0.0,0.0,48.0,1092.0
3,4401.0,87.0,59.0,41.0,70.0
3,5609.0,65.0,57.0,34.0,778.0
5,4853.0,0.0,0.0,48.0,1255.0
3,121.0,81.0,68.0,41.0,1209.0
4,4244.0,90.0,65.0,51.0,341.0
9,5575.0,0.0,0.0,63.0,841.0
4,1179.0,93.0,73.0,45.0,1176.0
7,1503.0,0.0,0.0,45.0,958.0
7,3107.0,0.0,0.0,50.0,836.0
4,801.0,0.0,0.0,60.0,971.0
7,3960.0,49.0,0.0,31.0,1214.0
8,836.0,0.0,0.0,50.0,1214.0
7,2014.0,0.0,0.0,48.0,1255.0
8,4546.0,0.0,0.0,48.0,1316.0
8,4127.0,0.0,0.0,47.0,1119.0
4,600.0,0.0,0.0,57.0,994.0
3,3650.0,89.0,65.0,41.0,958.0
2,1756.0,33.0,40.0,40.0,582.0
1,3146.0,80.0,5.0,21.0,405.0
5,4005.0,63.0,41.0,43.0,913.0
8,1921.0,0.0,0.0,49.0,836.0
8,2218.0,0.0,0.0,45.0,1280.0
3,748.0,79.0,64.0,36.0,865.0
0,0.0,66.0,0.0,0.0,836.0
8,4376.0,86.0,0.0,49.0,1121.0
3,160.0,84.0,58.0,46.0,1225.0
8,250.0,81.0,0.0,43.0,901.0
7,2583.0,0.0,0.0,45.0,1119.0
4,3359.0,97.0,69.0,56.0,836.0
1,4138.0,17.0,25.0,26.0,333.0
8,5270.0,0.0,0.0,55.0,559.0
1,2150.0,91.0,24.0,21.0,117.0
3,2543.0,62.0,48.0,60.0,236.0
8,3609.0,0.0,0.0,52.0,806.0
1,2721.0,58.0,18.0,30.0,920.0
5,4426.0,41.0,0.0,46.0,222.0
5,4211.0,53.0,0.0,38.0,279.0
3,2639.0,89.0,55.0,42.0,1209.0
8,892.0,4.0,0.0,48.0,1119.0
8,975.0,0.0,0.0,41.0,1046.0
7,1445.0,78.0,0.0,18.0,938.0
6,3011.0,0.0,0.0,43.0,1004.0
2,1103.0,24.0,35.0,41.0,267.0
7,3468.0,4.0,0.0,53.0,1230.0
2,432.0,56.0,24.0,36.0,1267.0
4,3689.0,97.0,81.0,52.0,865.0
6,4472.0,0.0,0.0,52.0,836.0
3,982.0,78.0,50.0,48.0,1148.0
8,3314.0,56.0,0.0,44.0,1214.0
2,1899.0,20.0,36.0,39.0,313.0
1,2091.0,6.0,14.0,29.0,681.0
7,2664.0,0.0,0.0,53.0,836.0
6,3772.0,0.0,0.0,45.0,1100.0
3,1928.0,0.0,57.0,52.0,457.0
2,5625.0,0.0,22.0,30.0,836.0
7,1762.0,66.0,0.0,45.0,1214.0
8,63.0,79.0,0.0,46.0,1225.0
8,1993.0,0.0,0.0,44.0,412.0
8,5333.0,0.0,0.0,43.0,1214.0
8,5801.0,0.0,0.0,56.0,958.0
9,2530.0,0.0,0.0,59.0,1122.0
9,4664.0,0.0,0.0,61.0,1215.0
8,3014.0,0.0,0.0,51.0,641.0
8,2132.0,0.0,0.0,47.0,1119.0
2,1379.0,32.0,39.0,35.0,582.0
3,992.0,71.0,0.0,41.0,1214.0
8,889.0,0.0,0.0,42.0,1097.0
8,4894.0,0.0,0.0,46.0,559.0
8,3183.0,0.0,0.0,44.0,1191.0
4,1823.0,85.0,0.0,50.0,63.0
3,3925.0,87.0,61.0,48.0,1259.0
9,4602.0,0.0,0.0,60.0,1176.0
8,3183.0,0.0,0.0,44.0,1191.0
7,2480.0,0.0,58.0,42.0,1119.0
3,4227.0,75.0,0.0,56.0,877.0
5,4901.0,85.0,0.0,48.0,1159.0
3,394.0,52.0,0.0,39.0,639.0
7,607.0,65.0,0.0,41.0,958.0
7,2082.0,54.0,0.0,39.0,1119.0
8,2530.0,0.0,0.0,45.0,1033.0
3,2069.0,89.0,60.0,38.0,1224.0
5,3828.0,61.0,45.0,39.0,1019.0
1,5480.0,9.0,18.0,42.0,1214.0
3,3465.0,0.0,0.0,48.0,999.0
3,1801.0,84.0,59.0,41.0,895.0
7,3088.0,0.0,0.0,57.0,964.0
3,1920.0,74.0,52.0,39.0,174.0
7,374.0,0.0,0.0,41.0,604.0
